joint_loss,iou_score,precision,recall,fscore
1.056930221847652,0.5030240037468906,0.6101027075585325,0.7736636182082068,0.652031597326097
0.833970329196183,0.6426868675295838,0.7716269874081169,0.8034415853392216,0.7796803688265613
0.7850263425984334,0.6999309818769239,0.8138709277221835,0.8397469981429504,0.8221160075099195
0.7672802769031721,0.7202433888445197,0.8268454916698416,0.8538205967736,0.8359463485245848
0.747460921400601,0.7469637707336659,0.8452838136977757,0.8702183304373747,0.8541059248226204
0.7410218463730568,0.7527633714921699,0.8469466216785392,0.8753271428580134,0.858179962512144
0.7358912512199166,0.7567163367861325,0.8482281018778219,0.8786159587889601,0.8606453691561199
0.7273012633176195,0.7702896991341386,0.8585535134236837,0.8853021165759292,0.8691102610420934
0.7225641509921279,0.7748074371790147,0.8578376161683463,0.8914825480008864,0.8725518375327908
0.7325850719029141,0.7630507131827244,0.8543082506386276,0.8809228582480517,0.8643098117149983
0.721806121855667,0.7773154307272016,0.8612714121022174,0.891770440278594,0.8737948456990351
0.7115340214414697,0.7904708127385561,0.8694825362913386,0.8996258648400454,0.882093403757233
0.6968154477089951,0.807224218992843,0.878847560317246,0.9096578169114806,0.89292210401948
0.7043597771949377,0.7987898809393655,0.8747426265293792,0.9035483844501454,0.8877051613994481
0.7027196306543251,0.7990630293629835,0.8758163372265921,0.9029570486127716,0.8876192342374742
0.711785361324389,0.7885581900164023,0.8692942857742311,0.896998025707363,0.8804660752876519
0.6922720449486961,0.8130354076316676,0.8852989950130896,0.90994651170121,0.8965628485089724
0.6908771924136842,0.8136526972977156,0.8859029025146643,0.9101478187079279,0.8968694431265605
0.6806223982388215,0.8285930838781532,0.893278810166821,0.9204800165805621,0.9060250010687054
0.6749581313624823,0.8345808184023981,0.8999105919267714,0.9205977849124631,0.9095678790328428
0.7053904054091147,0.7962127383222288,0.871690077879994,0.9032224699393989,0.884915327288441
0.7088053165022862,0.795164280945493,0.8735006445461941,0.8990507371646844,0.8848867766635936
0.6907611108317816,0.814952868776223,0.8866182080249192,0.9113854716733562,0.8977090869982219
0.6895285906250942,0.8193550202035409,0.8890818154688963,0.9136039657691089,0.9003654626226918
0.6865964826849318,0.8218658468157976,0.8914252064891697,0.9145358979087517,0.9018205330543909
0.6851748117466564,0.8203891853696291,0.891499857312625,0.9122800697985383,0.9011048533252837
0.6723029595060446,0.8401848409593718,0.9023570676439816,0.9244413689239741,0.9128993976976453
0.6697090237411029,0.8432162680576756,0.9040556974017743,0.9264084573873541,0.9146653800895534
0.6688099730875072,0.8442733963740244,0.9051531528689197,0.9266969383377393,0.9152894947946686
0.6662977257954705,0.8473713760523452,0.9052515742705038,0.9301563968363497,0.9171404549756002
